Field,Field Name,Type,Width,Dec,Nulls,Start,End
1,PROXY,Character,2,,No,1,2
2,R_AGE,Numeric,4,,No,3,6
3,R_SEX,Character,2,,No,7,8
4,DRIVER,Character,2,,No,9,10
5,CENSUS_D,Character,2,,No,11,12
6,CENSUS_R,Character,2,,No,13,14
7,WORKER,Character,2,,No,15,16
8,HHVEHCNT,Numeric,4,,No,17,20
9,MSASIZE,Character,2,,No,21,22
10,TRIPNUM,Numeric,4,,No,23,26
11,VARSTRAT,Numeric,4,,No,27,30
12,HOUSEID,Numeric,8,,No,31,38
13,DRVRCNT,Numeric,4,,No,39,42
14,HHFAMINC,Character,2,,No,43,44
15,HHSIZE,Numeric,4,,No,45,48
16,HH_HISP,Character,2,,No,49,50
17,HH_RACE,Character,2,,No,51,52
18,LIF_CYC,Character,2,,No,53,54
19,HHMSA,Character,4,,No,55,58
20,MSTR_MON,Numeric,4,,No,59,62
21,MSTR_YR,Numeric,4,,No,63,66
22,RAIL,Character,2,,No,67,68
23,SUM_STAT,Character,3,,No,69,71
24,TDAY_MON,Numeric,4,,No,72,75
25,TDAY_YR,Numeric,4,,No,76,79
26,TPER_BMO,Numeric,4,,No,80,83
27,TPER_BYR,Numeric,4,,No,84,87
28,TPER_EMO,Numeric,4,,No,88,91
29,TPER_EYR,Numeric,4,,No,92,95
30,TOWHYPAS,Character,2,,No,96,97
31,WRKCOUNT,Numeric,4,,No,98,101
32,HHCMSA,Character,4,,No,102,105
33,COUNTRY,Character,3,,No,106,108
34,DESTSTAT,Character,2,,No,109,110
35,HHTRPID,Numeric,4,,No,111,114
36,PERSONID,Numeric,4,,No,115,118
37,RET_MON,Character,2,,No,119,120
38,RET_YR,Character,2,,No,121,122
39,TOWHYTRP,Character,2,,No,123,124
40,TO_TRANS,Character,2,,No,125,126
41,WTTRPFIN,Numeric,14,2,No,127,140
42,CALCDIST,Numeric,14,2,No,141,154
43,DRVR_TPT,Character,2,,No,155,156
44,SUBSTRAT,Numeric,4,,No,157,160
45,HBPPOPDN,Numeric,7,,No,161,167
46,HBHUR,Character,1,,No,168,168
47,HBHRESDN,Numeric,7,,No,169,175
48,HBHINMED,Numeric,7,,No,176,182